CP006955.1	Bibersteinia_trehalosi_USDA_ARS_USMARC_189_GCA_000521745.1
CP003745.1	Bibersteinia_trehalosi_USDA_ARS_USMARC_192_GCA_000347595.1
GL622628.1	Bifidobacterium_12_1_47BFAA_12_1_47BFAA_GCA_000185665.1
BCFK01000059.1	Bifidobacterium_aesculapii_DSM_26737_GCA_001417815.1
AMPM01000225.1	Bifidobacterium_bifidum_IPLA_20015_GCA_000300215.1
JSDW01000005.1	Bifidobacterium_bifidum_IPLA_20015_GCA_001020405.1
JSDX01000008.1	Bifidobacterium_bifidum_IPLA_20017_GCA_001020265.1
JSEB01000005.1	Bifidobacterium_bifidum_LMG_13200_GCA_001020325.1
CP002220.1	Bifidobacterium_bifidum_S17_GCA_000164965.1
ATLK01000001.1	Bifidobacterium_bombi_DSM_19703_GCA_000737845.1
JDTS01000001.1	Bifidobacterium_bombi_DSM_19703_GCA_000771085.1
JGYS01000008.1	Bifidobacterium_callitrichos_DSM_23973_GCA_000741175.1
JDUV01000007.1	Bifidobacterium_callitrichos_DSM_23973_GCA_000771665.1
ABIX02000002.1	Bifidobacterium_dentium_ATCC_27678_GCA_000172135.1
CP001750.1	Bifidobacterium_dentium_Bd1_GCA_000024445.1
JDUY01000001.1	Bifidobacterium_dentium_JCM_1195_DSM_20436_GCA_000771725.1
AP012326.1	Bifidobacterium_dentium_JCM_1195_DSM_20436_GCA_001042595.1
AP014658.1	Bifidobacterium_longum_105_A_GCA_000829295.1
JWAI01000027.1	Bifidobacterium_longum_1173_BLON_GCA_001053985.1
CP010453.1	Bifidobacterium_longum_BG7_GCA_001293145.1
HF993447.1	Bifidobacterium_longum_CAG_69_GCA_000431755.1
CP000605.1	Bifidobacterium_longum_DJO10A_GCA_000008945.1
AABM02000004.1	Bifidobacterium_longum_DJO10A_GCA_000166895.2
AJTF01000141.1	Bifidobacterium_longum_longum_1_6B_GCA_000261245.1
AJTJ01000060.1	Bifidobacterium_longum_longum_2_2B_GCA_000261205.1
AJTI01000057.1	Bifidobacterium_longum_longum_35B_GCA_000261225.1
AJTM01000062.1	Bifidobacterium_longum_longum_44B_GCA_000261265.1
JNVY01000008.1	Bifidobacterium_longum_longum_7_1B_GCA_000730055.1
CALH01000106.1	Bifidobacterium_longum_longum_CECT_7347_GCA_001050555.1
LFDU01000047.1	Bifidobacterium_longum_longum_GCA_001275745.1
CP002794.1	Bifidobacterium_longum_longum_KACC_91563_GCA_000219455.1
JDTL01000004.1	Bifidobacterium_merycicum_DSM_6492_GCA_000770945.1
JGZC01000004.1	Bifidobacterium_merycicum_LMG_11341_GCA_000741615.1
JDUB01000002.1	Bifidobacterium_thermophilum_DSM_20210_GCA_000771265.1
KE386948.1	Bifidobacterium_tsurumiense_DSM_17777_GCA_000429745.1
JDTR01000001.1	Bifidobacterium_tsurumiense_DSM_17777_GCA_000771065.1
JGZU01000003.1	Bifidobacterium_tsurumiense_JCM_13495_GCA_000741765.1
CH672376.1	Blastopirellula_marina_DSM_3645_GCA_000153105.1
KB907784.1	Bordetella_FB_8_FB_8_GCA_000382185.1
LRSP01000001.1	Bordetella_pseudohinzii_228_11_GCA_001548485.1
JHEP02000007.1	Bordetella_pseudohinzii_8_296_03_GCA_000657795.2
LRSQ01000003.1	Bordetella_pseudohinzii_CWR_1_GCA_001548495.1
JNLC01000016.1	Bosea_117_117_GCA_000702305.1
KB894768.1	Brachymonas_chironomi_DSM_19884_GCA_000374625.1
KK211206.1	Brackiella_oedipodis_DSM_13743_GCA_000621025.1
CP000494.1	Bradyrhizobium_BTAi1_BTAi1_GCA_000015165.1
JNIJ01000082.1	Bradyrhizobium_URHD0069_URHD0069_GCA_000701345.1
CAGD01000017.1	Brevibacillus_laterosporus_GI_9_GCA_000237005.2
AODH01000013.1	Brochothrix_campestris_FSL_F6_1037_GCA_000525915.1
AODI01000016.1	Brochothrix_thermosphacta_DSM_20171_FSL_F6_1036_GCA_000525935.1
JHZM01000008.1	Brochothrix_thermosphacta_DSM_20171_FSL_F6_1036_GCA_000620985.1
JNIF01000003.1	Bryobacter_aggregatus_MPL3_GCA_000702445.1
GL383997.1	Burkholderiales_bacterium_1_1_47_1_1_47_GCA_000144975.1
AP014683.1	Burkholderiales_bacterium_GJ_E10_GJ_E10_GCA_000828975.1
KI912578.1	Butyricimonas_virosa_DSM_23226_GCA_000519105.1
AUJI01000018.1	Butyrivibrio_AC2005_AC2005_GCA_000424145.1
KK366043.1	Butyrivibrio_AE2005_AE2005_GCA_000686965.1
AUKC01000006.1	Butyrivibrio_NC3005_NC3005_GCA_000424545.1
KE384209.1	Butyrivibrio_NC3005_NC3005_GCA_000424545.1
FP929036.1	Butyrivibrio_fibrisolvens_16_4_GCA_000209815.1
AUJY01000011.1	Butyrivibrio_hungatei_NK4A153_GCA_000424465.1
ANHY01000014.1	Caenispirillum_salinarum_AK4_GCA_000315795.1
CP007769.1	Campylobacter_RM16704_RM16704_GCA_000816245.1
AIMW01000032.1	Campylobacter_coli_1098_GCA_000253695.2
AIMI01000013.1	Campylobacter_coli_111_3_GCA_000253415.2
AINA01000027.1	Campylobacter_coli_132_6_GCA_000253775.2
AINQ01000036.1	Campylobacter_coli_151_9_GCA_000254095.2
AINC01000037.1	Campylobacter_coli_1909_GCA_000253815.3
AINE01000037.1	Campylobacter_coli_1948_GCA_000253855.3
AINF01000042.1	Campylobacter_coli_1957_GCA_000253875.2
AING01000020.1	Campylobacter_coli_1961_GCA_000253895.3
AIMO01000013.1	Campylobacter_coli_2685_GCA_000253535.2
AIMQ01000063.1	Campylobacter_coli_2692_GCA_000253575.2
AIMR01000046.1	Campylobacter_coli_2698_GCA_000253595.2
AIND01000036.1	Campylobacter_coli_59_2_GCA_000253835.2
LKCT01000009.1	Campylobacter_coli_6461_GCA_001579505.1
AINI01000060.1	Campylobacter_coli_67_8_GCA_000253935.2
HG326877.1	Campylobacter_coli_76339_GCA_000470055.1
AIMZ01000024.1	Campylobacter_coli_7_1_GCA_000253755.2
AIMT01000045.1	Campylobacter_coli_80352_GCA_000253635.2
AIMT01000187.1	Campylobacter_coli_80352_GCA_000253635.2
ANGL01000164.1	Campylobacter_coli_BIGS0001_GCA_000321325.1
ANGQ01000003.1	Campylobacter_coli_BIGS0006_GCA_000314125.1
ANGR01000073.1	Campylobacter_coli_BIGS0007_GCA_000314145.1
ANGS01000073.1	Campylobacter_coli_BIGS0008_GCA_000314165.1
ANGU01000104.1	Campylobacter_coli_BIGS0010_GCA_000314205.1
ANGV01000101.1	Campylobacter_coli_BIGS0011_GCA_000314225.1
ANGW01000217.1	Campylobacter_coli_BIGS0012_GCA_000314245.1
ANHD01000210.1	Campylobacter_coli_BIGS0019_GCA_000314385.1
JAJN01000027.1	Campylobacter_coli_CVM_41917_GCA_001419015.1
JOVV01000015.1	Campylobacter_coli_CVM_N14840_GCA_001442405.1
JOUK01000004.1	Campylobacter_coli_CVM_N18725_GCA_001442095.1
JAJV01000015.1	Campylobacter_coli_CVM_N20402_GCA_001419605.1
JOUL01000038.1	Campylobacter_coli_CVM_N23169_GCA_001441765.1
JOUM01000026.1	Campylobacter_coli_CVM_N23392_GCA_001540985.1
JOUN01000008.1	Campylobacter_coli_CVM_N26070_GCA_001442435.1
JOUS01000001.1	Campylobacter_coli_CVM_N3508_GCA_001442235.1
LBEM01000013.1	Campylobacter_coli_CVM_N43850_GCA_001417185.1
LBEL01000008.1	Campylobacter_coli_CVM_N44721_GCA_001416755.1
LBDU01000012.1	Campylobacter_coli_CVM_N46573F_GCA_001417385.1
JOUV01000035.1	Campylobacter_coli_CVM_N4677_GCA_001441905.1
LBEJ01000010.1	Campylobacter_coli_CVM_N46876_GCA_001416765.1
JOUX01000010.1	Campylobacter_coli_CVM_N5441_GCA_001441895.1
JOVZ01000027.1	Campylobacter_coli_CVM_N6401_GCA_001442395.1
JOVC01000031.1	Campylobacter_coli_CVM_N8957_GCA_001441975.1
FAXG01000063.1	Campylobacter_coli_GCA_001491515.1
LKCS01000008.1	Campylobacter_coli_GCA_001579565.1
AINW01000009.1	Campylobacter_coli_H56_GCA_000254215.2
LQXK02000046.1	Campylobacter_coli_M1486PM_GCA_001516815.2
CP013733.1	Campylobacter_coli_OR12_GCA_001483845.1
CP013733.1	Campylobacter_coli_OR12_GCA_001483845.1
CYQA01000024.1	Campylobacter_coli_RC013_GCA_001292205.1
CYRF01000011.1	Campylobacter_coli_RC291_GCA_001292265.1
CYRR01000001.1	Campylobacter_coli_RC459_GCA_001292485.1
CP007181.1	Campylobacter_coli_RM4661_GCA_000583775.1
LIRY01000002.1	Campylobacter_coli_SH_CCH11C311_GCA_001545345.1
FBNC01000034.1	Campylobacter_coli_n_a_GCA_001487305.1
FBMO01000016.1	Campylobacter_coli_n_a_GCA_001487345.1
FBIG01000021.1	Campylobacter_coli_n_a_GCA_001487425.1
FBHF01000015.1	Campylobacter_coli_n_a_GCA_001487575.1
FBMY01000009.1	Campylobacter_coli_n_a_GCA_001487595.1
FBOL01000036.1	Campylobacter_coli_n_a_GCA_001487815.1
FAZZ01000017.1	Campylobacter_coli_n_a_GCA_001487855.1
FBCC01000019.1	Campylobacter_coli_n_a_GCA_001487875.1
FAZJ01000018.1	Campylobacter_coli_n_a_GCA_001487975.1
FBOS01000032.1	Campylobacter_coli_n_a_GCA_001488075.1
FAXS01000035.1	Campylobacter_coli_n_a_GCA_001488095.1
FBFZ01000024.1	Campylobacter_coli_n_a_GCA_001488295.1
FAYJ01000002.1	Campylobacter_coli_n_a_GCA_001488515.1
FBPR01000010.1	Campylobacter_coli_n_a_GCA_001488715.1
FBDF01000022.1	Campylobacter_coli_n_a_GCA_001488815.1
FBBX01000003.1	Campylobacter_coli_n_a_GCA_001488835.1
FBCE01000001.1	Campylobacter_coli_n_a_GCA_001488855.1
